length(m),elevation(m),bed(m),area(m2)
200.27767124669637,3404.6499999999996,3372.25,518719.1685289436
581.5404247515946,3296.55,3253.25,564673.4566455898
954.3252403907198,3216.1000000000004,3126.3999999999996,647324.1001606165
1309.8986838871697,3162.95,3044.1,617099.3397153033
1508.5857957991407,3135.8999999999996,3017.6499999999996,138257.0711139217
1693.1713894015172,3092.1,2949.25,581177.1207824323
1969.3877870210767,3025.5,2855.7,498457.6266998801
2205.2399981453827,2981.1,2762.0,463575.2505225855
2452.1710702908154,2956.7,2697.2,679445.0809631845
2717.322967199405,2937.85,2682.95,714926.6213939178
2971.750913601916,2918.9,2648.3500000000004,682844.1449646091
3215.305172230431,2895.9,2600.5,574876.5412535992
3496.9142193794823,2870.95,2511.55,733714.9687693041
3785.387671365986,2853.55,2454.0,414408.08064560767
4063.80953683648,2842.25,2468.5,429853.93337464234
4348.1856676763055,2825.7,2450.2,332229.8028919872
4585.082115251154,2804.8999999999996,2433.4,215382.38331180063
4825.222288723294,2781.05,2440.3,186069.9888422807
5084.194446448645,2759.55,2429.5,147717.90460608722
5399.5347887240205,2738.1499999999996,2475.8999999999996,258291.09755507292
5789.618832317699,2695.25,2505.75,324411.28951255005
6151.6752049138395,2638.3500000000004,2391.0,227575.02741438427
6441.795945223625,2601.25,2316.6499999999996,167523.36948270147
6707.813881742243,2571.3,2335.8,198174.24409508507
7009.369062243424,2529.25,2309.3,217271.91068345838
7323.428501135508,2495.75,2270.0,172476.2705657743
7674.545202021528,2459.9,2260.0,162535.69862989098
8057.693642696791,2409.25,2243.3999999999996,116880.36264642104
8354.32747933785,2366.8999999999996,2216.3999999999996,69546.12453859282
8599.283314431603,2334.8,2201.1499999999996,65945.12835741896
8832.624975135634,2305.75,2187.25,37891.40022158209
9036.556913888144,2282.55,2178.15,29518.63571688517
9236.663024965925,2250.6,2181.95,26919.698822432845
9429.806082079738,2222.55,2199.45,9904.689701553652
9664.020975486093,2133.95,2133.95,0.0
10010.447277219875,1932.3,1932.3,0.0
10330.641841778332,1803.6999999999998,1803.6999999999998,0.0
10626.976039173322,1788.9499999999998,1788.9499999999998,0.0
10966.131624217931,1780.85,1780.85,0.0
11309.70147416669,1773.0,1773.0,0.0
